,instruction,Category
8934,I want help to change the delivery address,Shipping
8935,how ot edit order {{Order Number}}?,Order
8936,using another user,Login and Account
8937,correct details on standard account,Login and Account
8938,need assistance switching to the {{Account Type}} account,Login and Account
8939,can you help me write a comment about your products?,Shopping
8940,I cannot check the ETA of the order {{Order Number}},Order
8941,help me to acquire a few of your item,Order
8942,how to see the available payment modalities?,Order
8943,"I need to add a product to purchase {{Order Number}}, help me",Order
8944,troubles entering my secondary delivery address,Shipping
8945,open premium cacount for wife,Login and Account
8946,need help receiving the company newsletter,Login and Account
8947,what do I need to do to inform of isues with payments?,Order
8948,how do I order somearticles?,Order
8949,how do i inform of troubles with online payment,Order
8950,"I have got to talk to customer service, how can I do it?",Warranty
8951,how could I swap some products of purchase {{Order Number}}?,Order
8952,modify pro account,Login and Account
8953,need assistance canceling order {{Order Number}},Order
8954,I do not know what I have to do to order some articles,Order
8955,"I need to talk with customer support, could I get some help?",Warranty
8956,i want help to see the termination charges,Cancellations and returns
8957,can you help me creating a standard account for my daughter?,Login and Account
8958,correct info on pro account,Login and Account
8959,help subscribing to your corporate newsletter,Login and Account
8960,correcting details on platinum account,Login and Account
8961,how can I track the compensation?,Cancellations and returns
8962,I cannot retrieve my account key,Login and Account
8963,I have to check purchase {{Order Number}} current status,Order
8964,i have got to order a product could i get some help,Order
8965,can ya help me to check what payment methods ya accept,Order
8966,where do I see what methods for delivery are available?,Shipping
8967,do you edliver to {{Delivery Country}}?,Shipping
8968,can uhelp me cancelling the subscription to the newsletter,Login and Account
8969,i want assistance to download the bill from {{Person Name}},Shipping
8970,I have got to notify of troubles with payments,Order
8971,"I want to earn some of your item, will you help me?",Order
8972,i dont know what i need to do to switch to the {{Account Type}} account,Login and Account
8973,can ya help me using the fucking {{Account Category}} profile,Login and Account
8974,whta do i need to do to change to the damn gold account,Login and Account
8975,modify order {{Order Number}},Order
8976,show me the fucking current status of order {{Order Number}},Order
8977,I need sasistance recovering the PIN of my profile,Login and Account
8978,"I can no longer afford purchase {{Order Number}}, cancel it",Order
8979,I do not know what I need to do to file a customer complaint,Shopping
8980,show me in which situations can I ask to be refunded,Cancellations and returns
8981,i want assistance to inform of a problem with registrations,Login and Account
8982,I need assistance to request refunds of my money,Cancellations and returns
8983,why I can't enter the secondary delivery address valid,Shipping
8984,want assistance listing your available payment options,Order
8985,wanmna enter the delivery address,Shipping
8986,want help looking for the fucking bill from {{Person Name}},Shipping
8987,help with adding a goddamn item to ordr {{Order Number}},Order
8988,help me to check in which cases can i ask for reimbursements,Cancellations and returns
8989,i cant add something to order {{Order Number}},Order
8990,how do i use the gold profile,Login and Account
8991,i dont know how to inform of a payment error,Order
8992,I am trying to see the allowed payment methods,Order
8993,I do not know how to earn a few of your item,Order
8994,I do not know how to track order {{Order Number}},Order
8995,I try to see when will my product arrive,Shipping
8996,give em information about updating order {{Order Number}},Order
8997,I have got to set up a different shipping address,Shipping
8998,can uhelp me seeing the cancellation charge,Cancellations and returns
8999,i need assistance downloading my invoices from {{Person Name}},Shipping
9000,change details on freemium account,Login and Account
9001,how to take a quick look at the invoices from {{Person Name}},Shipping
9002,I don't know how I can report problems with payment,Order
9003,I want assistance checking how long refunds uaually take,Cancellations and returns
9004,can i set up another shipping address,Shipping
9005,see my bills from {{Person Name}},Shipping
9006,i do not know how to edit my damn account,Login and Account
9007,I don't know how to chat with an agent,Warranty
9008,help me seeing what hours i can reachb customer service,Warranty
9009,wanna see order {{Order Number}} status help me,Order
9010,can I close a {{Account Category}} account?,Login and Account
9011,I can't see the status of order {{Order Number}},Order
9012,help me notify of issues with online payments,Order
9013,I'd like to lodge a damn consumer claim how could i do it,Shopping
9014,open freemium account,Login and Account
9015,update data on {{Account Category}} cacount,Login and Account
9016,can you show me what delivery methods are available?,Shipping
9017,i dont know how i can take a quick look at my invoice #85632,Shipping
9018,i cannot pay for these product how do i cancel the order,Order
9019,i want assistance to cancel order {{Order Number}},Order
9020,iwant assistance canceling order {{Order Number}},Order
9021,assistance to shop some products,Order
9022,refunding {{Refund Amount}} dollars,Cancellations and returns
9023,wanna use  the gold profile i need help,Login and Account
9024,i cant modify order {{Order Number}},Order
9025,can I close a platinum account?,Login and Account
9026,I try to see how long it takes for the product to arrive,Shipping
9027,I want help to earn several of your article,Order
9028,can i speak with a humanagent,Warranty
9029,want assistance to retrieve the PIN of my account,Login and Account
9030,"I have got to list your bloody payment options, I need help",Order
9031,canceling {{Account Category}} account,Login and Account
9032,what do i need to do to leave some feedback,Shopping
9033,help me to check how soon can I expect my article,Shipping
9034,can ya help me to check when my product is gonna arrive,Shipping
9035,help me check how soon can I expect my delivery,Shipping
9036,how to see the cancellation fees?,Cancellations and returns
9037,want assistance to change my delivery address,Shipping
9038,I don't know what I need to do to look forthe invoice #12588,Shipping
9039,I do not know how to leave an opinion for a service,Shopping
9040,locate order {{Order Number}},Order
9041,I am trying to find information about modifying the address,Shipping
9042,i dont know what i need to do to download the bill #37777,Shipping
9043,I'm waiting for a ocmpensation of {{Refund Amount}} dollars,Cancellations and returns
9044,want help opening a pro account for my daughter,Login and Account
9045,can you help me to speak to customer assistance?,Warranty
9046,help to correct order {{Order Number}},Order
9047,I don't know what I have to do to see the termination fees,Cancellations and returns
9048,can i check how long it takes for my delivery to arrive,Shipping
9049,want help filing a customer claim against ur organization,Shopping
9050,I have got to check what hours customer service available is,Warranty
9051,I'm trying to see the eta of purchase {{Order Number}},Order
9052,I can't afford order {{Order Number}},Order
9053,I do not know how to see the early termination charge,Cancellations and returns
9054,can you help me to cancel order {{Order Number}}?,Order
9055,i want help seeing what payment methods uaccept,Order
9056,wanna find my bills from {{Person Name}} how do i do it,Shipping
9057,would it be possible to shop several items?,Order
9058,i dont know how to report an error with sign-up,Login and Account
9059,where do I report an issue iwth sign-up?,Login and Account
9060,can you help me place an order?,Order
9061,"the shipping address changed, how can I correct it?",Shipping
9062,how can I look for the invoice #85632?,Shipping
9063,I have to retrieve the PIN cpde of my account,Login and Account
9064,can you help me to unsubscribe to your corporate newsletter?,Login and Account
9065,how do i retrieve my profile pin,Login and Account
9066,what do I have to do to retrieve my key?,Login and Account
9067,want help creating a premium account for my dad,Login and Account
9068,is it possible to inform of an issue with online payments?,Order
9069,new {{Account Type}} account,Login and Account
9070,I want help unsubscribing to the corporate newsletter,Login and Account
9071,I need help to notiyf of a registration problem,Login and Account
9072,"I need to see how long refunds usually take, how to do it?",Cancellations and returns
9073,how to download the bills from {{Person Name}}?,Shipping
9074,I have a problem setting up the new delivery address,Shipping
9075,I need assistance acquiring a product,Order
9076,need help seeing in which cases can  I request a refund,Cancellations and returns
9077,is it possible to buy some items?,Order
9078,assistance to track purchase {{Order Number}},Order
9079,I need to check the withdrawal fee,Cancellations and returns
9080,help me canceling the subscription to the company newsletter,Login and Account
9081,I want help to inform of a sign-up problem,Login and Account
9082,could I see in which cases can I request a fucking refund?,Cancellations and returns
9083,wanna see ur refund policy how to do  it,Cancellations and returns
9084,how do I change my address?,Shipping
9085,I have got to request a restitution of my money,Cancellations and returns
9086,I can't find the early termination fee,Cancellations and returns
9087,ya have a free of charge phone no to call customer service,Warranty
9088,I cannot submit another shipping address,Shipping
9089,I don't know what to do to submit a shipping address,Shipping
9090,asistance to open a pro account,Login and Account
9091,i want help leaving feedback about a service,Shopping
9092,I want assistance informing of  issues with payment,Order
9093,I want assistance seeing when will my item arrive,Shipping
9094,I do not know what I have to do to close a {{Account Type}} accoint,Login and Account
9095,I have an issue setting the delivery address up,Shipping
9096,assistance seeing at what time customer support available is,Warranty
9097,creating account,Login and Account
9098,I want to see how soon can I expect my item,Shipping
9099,I need assistance to check the early exit penalty,Cancellations and returns
9100,i want help to get a rebate of my money,Cancellations and returns
9101,could you help me adding some items to purchase {{Order Number}}?,Order
9102,help to check in which cases can I ask for refunds,Cancellations and returns
9103,how do I use the {{Account Category}} profile?,Login and Account
9104,i expect a rebate of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
9105,canyou help me get a compensation?,Cancellations and returns
9106,how to see purchase {{Order Number}} current status?,Order
9107,i dont know what i have to do to download my invoice #00108,Shipping
9108,assistance leaving a bloody opinion about a product,Shopping
9109,I need help to updae the address,Shipping
9110,need to see hte goddamn early exit penalty how to do it,Cancellations and returns
9111,opening new standard account for daughter,Login and Account
9112,I need help solving a troouble with online payments,Order
9113,lodging customer complaint against your company,Shopping
9114,I don't know what I have to do to download my bill #37777,Shipping
9115,"I want to see  the payment methods, help me",Order
9116,I do not know how I could request compensations of money,Cancellations and returns
9117,how can I delete the standard account?,Login and Account
9118,update gold account,Login and Account
9119,I am waiting for a refund of {{Refund Amount}} dollars,Cancellations and returns
9120,I want assistance writing a comment about your products,Shopping
9121,how to acquire a product,Order
9122,want help to shop a few of ur article,Order
9123,need to buy a few of ur item,Order
9124,I am waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
9125,I need assistance informing of an issue with registrations,Login and Account
9126,would it be possible to cancel purchase {{Order Number}},Order
9127,there are errors setting up a delivery address,Shipping
9128,can uhelp me to get in touch with customer support,Warranty
9129,i need help to use the standard profile,Login and Account
9130,need help to check what methods for delivery i have,Shipping
9131,can I see order {{Order Number}} current status?,Order
9132,show the available shipment methods,Shipping
9133,see the bills from {{Person Name}},Shipping
9134,I'm waiting for a restitution of {{Refund Amount}} dollars,Cancellations and returns
9135,I missed an item in purchase {{Order Number}},Order
9136,how do I check how soon can I expect my purchase?,Shipping
9137,how to edt order {{Order Number}},Order
9138,how do I check the current status of order {{Order Number}}?,Order
9139,help me solving a trouble with payment,Order
9140,I have got to cancel the newsletter subscription,Login and Account
9141,i need help to set up a new shipping address,Shipping
9142,I wantto see the termination charge,Cancellations and returns
9143,I don't know what to do to downlod bill #12588,Shipping
9144,creating new freemium account for daughter,Login and Account
9145,show me order {{Order Number}} status,Order
9146,"I have got to file a reclamation, can you help me?",Shopping
9147,I need help to speak to someond,Warranty
9148,"I have to order a bloody product, how can I do it?",Order
9149,need help notifying of an error with online payment,Order
9150,I have an error setting up another delivery address,Shipping
9151,i need assistance to see when my article is  gonna arrive,Shipping
9152,I do not know what to do to change to the {{Account Type}} account,Login and Account
9153,can uhelp me to check the fucking eta of the order {{Order Number}},Order
9154,I want help seeing the allowed payment options,Order
9155,i have got to check how soon can i expect the order,Shipping
9156,how do I see at what time customer assistance available is?,Warranty
9157,close freemium account,Login and Account
9158,assistance notifying of a signup problem,Login and Account
9159,need sasistance seeing what payment options are accepted,Order
9160,do you have a free number to talk with customer service?,Warranty
9161,I want to know more about correcting the delivery address,Shipping
9162,need assistance locating purchase {{Order Number}},Order
9163,i dont know what i need to do to talk to a person,Warranty
9164,how do I see how  long it takes for the package to arrive?,Shipping
9165,want help to talk to someone,Warranty
9166,assistance checking what hours i can reach customre service,Warranty
9167,where to leave a review for ur products,Shopping
9168,I need assistance to cancel my freemium account,Login and Account
9169,switch to  premium account,Login and Account
9170,"I would like to edit my user, will you help me?",Login and Account
9171,what do I need to do to order several of your item?,Order
9172,I want help to file a reclamation against your company,Shopping
9173,what do I have to do to create a standard account?,Login and Account
9174,help me see the status of order {{Order Number}},Order
9175,i have to remove a item from order {{Order Number}} help me,Order
9176,i want assistance to inform of issues with onlinbe payments,Order
9177,is there an address to submit an opinion about ur products,Shopping
9178,help me checking the allowed payment options,Order
9179,need help seeing in which situations can I request refunds,Cancellations and returns
9180,where could I retrieve my profile access key?,Login and Account
9181,what do i have to do to reset the pwd of my user account,Login and Account
9182,where do i inform of a trouble with payments,Order
9183,i need assistance to download the bills from {{Person Name}},Shipping
9184,can i inform of an issue with a registration,Login and Account
9185,want help lodging a consumer reclmaation,Shopping
9186,error modifying  delivery address,Shipping
9187,wanna report problems with online payment,Order
9188,I am trying to make a customer complaint,Shopping
9189,assistance to see the termination charge,Cancellations and returns
9190,i want assistance to track purchase {{Order Number}},Order
9191,status of refund,Cancellations and returns
9192,help  me cancelling purchase {{Order Number}},Order
9193,need assistance recovering the PIN of my account,Login and Account
9194,I want help checking how soon can I expect the delivery,Shipping
9195,what do I need to do to recover my user account PIN code?,Login and Account
9196,I don't know how to check the goddamn shipment methods,Shipping
9197,I want help to see the cancellation charges,Cancellations and returns
9198,updating pro accojnt,Login and Account
9199,"the shipping address changed, how can I edit it?",Shipping
9200,assistance filing a complaint against your organization,Shopping
9201,how can I check your reimbursement policy?,Cancellations and returns
9202,removing gold acconut,Login and Account
9203,I do not know how I can locate my bills from {{Person Name}},Shipping
9204,I need to reocver my pass,Login and Account
9205,assistance checking the accepted payment options,Order
9206,"I want to check your regund policy, help me",Cancellations and returns
9207,wanna notify of an signup issue can uhelp me,Login and Account
9208,help me seeing what delivery options I can choose,Shipping
9209,refunding {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
9210,"I am looking for the shipping periods, how can I find them ?",Shipping
9211,I can't afford purchase {{Order Number}},Order
9212,i do not know how to get myinvoice #00108,Shipping
9213,problem with standard account deletions,Login and Account
9214,how do I give a quick look at the invoice from {{Person Name}}?,Shipping
9215,I have to speak with customer support,Warranty
9216,I do not know what I need to do to receive reimbursemenrs,Cancellations and returns
9217,i want assistance informing of an error with bloody sign-up,Login and Account
9218,I need to ask fot refunds of money,Cancellations and returns
9219,I call to see what shipping methods you offer,Shipping
9220,what do i have to do to remove the {{Account Type}} account,Login and Account
9221,I do not know how I could change my address,Shipping
9222,question about the deletion of a fucking {{Account Type}} account,Login and Account
9223,can I file a customer complaint against your company?,Shopping
9224,i dont know what to do to cancel order {{Order Number}},Order
9225,what do i need to do to change to the pro account,Login and Account
9226,can I ordrr from {{Delivery City}}?,Shipping
9227,question about canceling order {{Order Number}},Order
9228,I want assistance to see what payment methods are available,Order
9229,I do not know how to order something,Order
9230,i have got to see how soon can i expect the product,Shipping
9231,i need assistance checking ur allowed payment modalities,Order
9232,can I check  how soon can I expect my package?,Shipping
9233,help me to report errors with payment,Order
9234,"I do not need the {{Account Category}} account, help to delete it",Login and Account
9235,i try to set up a shipping address,Shipping
9236,need assistance to recover my account pass,Login and Account
9237,I don't know how to check the damn termination penalty,Cancellations and returns
9238,do you have a toll-free customer assistance phone no?,Warranty
9239,I have a problem trying to edit my shipping address,Shipping
9240,I don't know how to get refunds,Cancellations and returns
9241,I am waiting for a refund of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
9242,could I place an order from {{Delivery Country}}?,Shipping
9243,I'd like tro check the withdrawal fees,Cancellations and returns
9244,can you give me information about editing my address?,Shipping
9245,help me purchase several articles,Order
9246,I need help locating my bill #85632,Shipping
9247,need assistance downloading my bill from {{Person Name}},Shipping
9248,there is a problem with my registration,Login and Account
9249,assistance seeingur payment methods,Order
9250,I do not know how to ask for a restitution of my money,Cancellations and returns
9251,assistance to check your payment modalities,Order
9252,I need assistance to use the premium account,Login and Account
9253,I have to check when my bloody package is going to arrive,Shipping
9254,change details on gold account,Login and Account
9255,I do not know how I can change to the {{Account Category}} account,Login and Account
9256,making complaint against your organization,Shopping
9257,I need assistance using the {{Account Category}} preofile,Login and Account
9258,can i order frlm {{Delivery City}},Shipping
9259,download bill from {{Person Name}},Shipping
9260,modifying info on gold accoumt,Login and Account
9261,check in what situations can I ask for reimbursements,Cancellations and returns
9262,need to check the rebate curent status how to do it,Cancellations and returns
9263,I want help seeing in what situations can I request a refund,Cancellations and returns
9264,i want information about a standard account removal,Login and Account
9265,changing data on {{Account Type}} account,Login and Account
9266,can uhelp me speak with an operator,Warranty
9267,rebating {{Refund Amount}} dollars,Cancellations and returns
9268,how to repoft troubles with online payment,Order
9269,help me see in which situations can I ask for myt money back,Cancellations and returns
9270,I am trying to see in what situations can I ask for a refund,Cancellations and returns
9271,give me information about the subscription to ur newsletter,Login and Account
9272,I need assistance seeing the early termination penalties,Cancellations and returns
9273,"I need to enter a secondary shipping address, how to do it?",Shipping
9274,see my bills from {{Person Name}},Shipping
9275,can ya help me to modify the info on my account,Login and Account
9276,where to send some feedback about your products?,Shopping
9277,I need to speak with a person,Warranty
9278,wanna know more about a shipping address update,Shipping
9279,I am trying to cancel purchase {{Order Number}},Order
9280,i dont use m freemium account I'm trying to cancel it,Login and Account
9281,how do i check what goddamn payment methods are lalowed,Order
9282,I have a question about canceling order {{Order Number}},Order
9283,need help to see when my purchase is gonna arrive,Shipping
9284,"I have got to ask for a rebate, can you help me?",Cancellations and returns
9285,i do not know how i can download my bills from {{Person Name}},Shipping
9286,help me notify of problems with registrations,Login and Account
9287,is it possible to track purchase {{Order Number}}?,Order
9288,i dont know how to see the early termination penalty,Cancellations and returns
9289,assistance to inform of registration problems,Login and Account
9290,seeing bills from {{Person Name}},Shipping
9291,want  assistance to check the goddamn bill from {{Person Name}},Shipping
9292,help me notifying of signup errors,Login and Account
9293,i have a problem with a delivery address modification,Shipping
9294,can you help me to set a shipping address up?,Shipping
9295,need assistance informing of problems with online payment,Order
9296,"I can't open a profile, I have to report a sign-up issue",Login and Account
9297,how do i use the standard account,Login and Account
9298,is it possible to restore my profile key?,Login and Account
9299,i have got to download my invoice #37777,Shipping
9300,assistance checking your reimbursement policy,Cancellations and returns
9301,"I have got to use the damn pro profile, could you help me?",Login and Account
9302,is it possible to place an order from {{Delivery City}},Shipping
9303,want help reporting bloody troubles with payments,Order
9304,how to edit purchase {{Order Number}},Order
9305,can i check theearly exit penalty,Cancellations and returns
9306,i dont know what i have to od to download my invoice #00108,Shipping
9307,I do not know what to do to cancel the {{Account Type}} account,Login and Account
9308,I can't see the damn status of order {{Order Number}},Order
9309,what do I have to do to purchase some of your article?,Order
9310,help lodging a customer complaint,Shopping
9311,switch to {{Account Type}} account,Login and Account
9312,i have a problem with the termination of my {{Account Category}} account,Login and Account
9313,I am trying to list your acceoted payment options,Order
9314,is it possible to receive reimbursements?,Cancellations and returns
9315,check the available shipping options,Shipping
9316,I need assistance canceling order {{Order Number}},Order
9317,help me to see at what time I can contact customer support,Warranty
9318,I am waiting for a reimbursement of {{Refund Amount}} dollars,Cancellations and returns
9319,cancel {{Account Category}} account,Login and Account
9320,i have to delete the fucking freemium account i need help,Login and Account
9321,I am trying to see in what cases can I ask for refunds,Cancellations and returns
9322,send me bill from {{Person Name}},Shipping
9323,i do not know how i can download my bills from {{Person Name}},Shipping
9324,report issue creating user,Login and Account
9325,wanna enter my shipping address,Shipping
9326,"I do not understand you, can you help me talk to a person?",Warranty
9327,I do not know how to send feedback for your services,Shopping
9328,want assistance to download my invoice #12588,Shipping
9329,I need information about the cancellation of a gold account,Login and Account
9330,help me to use the {{Account Type}} account,Login and Account
9331,help to see the invoice #12588,Shipping
9332,I want to inform of problems with payment,Order
9333,is it plssible to order from {{Delivery Country}}?,Shipping
9334,I do not know what I need to do to ask for a compensation,Cancellations and returns
9335,i do not know how i could see ur payment modalities,Order
9336,will you tell me what hours I can call customer service ?,Warranty
9337,I want assistance to modify the shipping address,Shipping
9338,I dp not know how to cancel order {{Order Number}},Order
9339,what do I ned to do to cancel order {{Order Number}}?,Order
9340,want assistance notifying of an error with payments,Order
9341,"I have got to download the bill from {{Person Name}}, help me",Shipping
9342,is it possible to see the bills from {{Person Name}}?,Shipping
9343,is it possible to see the eta of order {{Order Number}},Order
9344,would it be possible to find the bill #00108?,Shipping
9345,updating {{Account Category}} account,Login and Account
9346,help me check the status of the rebate,Cancellations and returns
9347,wanna see how long it takes for my purchase to arrive,Shipping
9348,how can I restore my user PIN code?,Login and Account
9349,I have to write an opinion for your services,Shopping
9350,how can I  close my {{Account Category}} account?,Login and Account
9351,I have to speak with someone,Warranty
9352,locating purchase {{Order Number}},Order
9353,need to check what hours i can reach customer service,Warranty
9354,helpme seeing the early exit fee,Cancellations and returns
9355,I don't know how to track my restitution,Cancellations and returns
9356,is it possible to place an order from {{Delivery Country}},Shipping
9357,want assistance checking the ETA of orfer {{Order Number}},Order
9358,payment issue,Order
9359,i canttalk to a human agent,Warranty
9360,i need supports trying to modify my address,Shipping
9361,I want to restore the  PIN code of my account,Login and Account
9362,correcting infornation on premium account,Login and Account
9363,can you showme the accepted payment modalities?,Order
9364,i need assistance to inform of signup issues,Login and Account
9365,help me checking the available payment options,Order
9366,help to speak with somebody,Warranty
9367,I have to request reimbursements of my money,Cancellations and returns
9368,i cant recover the key of my user profile,Login and Account
9369,help me to list the payment options,Order
9370,can you help me report fucking errors with payment?,Order
9371,help me see purchase {{Order Number}} status,Order
9372,help me see when my order is going to arrive,Shipping
9373,I need help reporting errors with a signup,Login and Account
9374,i have troubles entering my delivery address,Shipping
9375,editing details on {{Account Type}} account,Login and Account
9376,how can I report troubles with online payment?,Order
9377,i have got to inform of issues with payments,Order
9378,want help to check the restitution status,Cancellations and returns
9379,wanna see in which situations can i ask for a refund,Cancellations and returns
9380,i dont know what i have to do to see the rebate status,Cancellations and returns
9381,I want assistance to see my invoices from {{Person Name}},Shipping
9382,need to add an item to purchase {{Order Number}} could ya help m,Order
9383,what do I have to do to purchase seevral articles?,Order
9384,I do not know how I can cancel purchase {{Order Number}},Order
9385,need assistance to check the status of order {{Order Number}},Order
9386,need assistance opening a pro account for my daughter,Login and Account
9387,i do not know how i can inform of issues with online payment,Order
9388,using gold account,Login and Account
9389,"I want to downlpad my invoice from {{Person Name}}, I need help",Shipping
9390,correcting data on premium account,Login and Account
9391,neeed help listing the allowed payment methods,Order
9392,I can't restore my user profile PIN,Login and Account
9393,where do I cancel purchase {{Order Number}}?,Order
9394,creating {{Account Type}} account,Login and Account
9395,tell me what hours I can call customer service,Warranty
9396,I try to see in what situations can I request to be refunded,Cancellations and returns
9397,assistance seeing in which cases can I request my money back,Cancellations and returns
9398,I need help with canceling order {{Order Number}},Order
9399,updating details on premium account,Login and Account
9400,help to check how long it takes for the product to arrive,Shipping
9401,assistance ordering an item,Order
9402,want help talking with customer support,Warranty
9403,want assistance switching to the premium cacount,Login and Account
9404,do ya ship toFinland,Shipping
9405,want assistance restoring my profile PIN,Login and Account
9406,can i check when my package is gonna arrive,Shipping
9407,can i place a damn order from  {{Delivery Country}},Shipping
9408,is it possible to set up a damn different delivery address?,Shipping
9409,where to see what shipment options I have?,Shipping
9410,I want assistance to notify of a problem with a registration,Login and Account
9411,I need to get my invoice from {{Person Name}},Shipping
9412,use pro acdcount,Login and Account
9413,I need information about correcting the address,Shipping
9414,i have to purchasea damn item how do i do it,Order
9415,is there a method to send some feedback for ur products,Shopping
9416,I acn't chat with an assistant,Warranty
9417,i have to see the ETA of order {{Order Number}} can ya help me,Order
9418,help to check the current status of the compensation,Cancellations and returns
9419,help changing some products of order {{Order Number}},Order
9420,I want assistance to make a customer reclamation,Shopping
9421,I try to chat with an assistant,Warranty
9422,could you show me what hours I can contact customer support?,Warranty
9423,I need assistance to inform of issues with online payments,Order
9424,help regarding payments,Order
9425,I have to submit a secondary delivery address,Shipping
9426,I don't know what I have to do to chat with an assistant,Warranty
9427,I have to switch to the {{Account Category}} account,Login and Account
9428,I can't receive the corporate newsletter,Login and Account
9429,I need to check the withdrawal penalties,Cancellations and returns
9430,can you show me in what situations can I request refunds?,Cancellations and returns
9431,I don't know how I can leave a review,Shopping
9432,i want help seeing when will my itwm arrive,Shipping
9433,I don't know what to do to switch to the {{Account Type}} account,Login and Account
9434,can uhelp me requesting rebates,Cancellations and returns
9435,I want assistance to edit order {{Order Number}},Order
9436,I need help seeing in which cases can I ask for a refund,Cancellations and returns
9437,I expect a reimbursement of {{Refund Amount}} dollars,Cancellations and returns
9438,i want assistance to edit the delivery address,Shipping
9439,"I cannot understand you, I have got to speak with someone",Warranty
9440,I don't know what I have to do to notify of a payment error,Order
9441,how can I acquire a product?,Order
9442,I want help to file a complaint against your organization,Shopping
9443,will you show me how soon can I expect my purchase?,Shipping
9444,where do i see the early termination fees,Cancellations and returns
9445,how do i restore my account passwodr,Login and Account
9446,could you help me canceling purchase {{Order Number}}?,Order
9447,help creating user,Login and Account
9448,supports trying to change the address,Shipping
9449,I have to make a claim against your organization,Shopping
9450,wannma speak to customer service how can i do it,Warranty
9451,assistance to file a reclamation against your business,Shopping
9452,how do I purchase several of your product ?,Order
9453,I don't know how I can order a few of your article,Order
9454,I do not know what to do to download the bill #85632,Shipping
9455,can you help me filing an reclamation against your company?,Shopping
9456,I want hwlp to correct the shipping address,Shipping
9457,is it possible to contact an operator,Warranty
9458,help checking the early termination penalty,Cancellations and returns
9459,there is a problem submitting my secondary shipping address,Shipping
9460,I need assistance correcting my shipping address,Shipping
9461,withdrawal penalties,Cancellations and returns
9462,i try to see if there are any updates on my refund,Cancellations and returns
9463,help me editing the shipping address,Shipping
9464,find inormation about creating standard accounts,Login and Account
9465,help to make a complaint,Shopping
9466,"I would like to close my gold account, help me",Login and Account
9467,I don't know what I need to do to check my invoice #00108,Shipping
9468,need assistance to request rebates of my money,Cancellations and returns
9469,want assistance to file a  complaint against ur company,Shopping
9470,I do not know how I can enter another shipping address,Shipping
9471,i want help tosee the withdrawal fee,Cancellations and returns
9472,I want assistance to order a damn product,Order
9473,checking invoices from 9 months ago,Shipping
9474,is it possible to request a refund of my money?,Cancellations and returns
9475,I do not know how to check the cancellation charge,Cancellations and returns
9476,can you help me restore my profile access key?,Login and Account
9477,I am calling to see how soon can I expect the shipment,Shipping
9478,can uhelp me check my refund current status,Cancellations and returns
9479,i need assistance seeing the cancellaion penalty,Cancellations and returns
9480,"I purchased some items, I want to cancel order {{Order Number}}",Order
9481,is it possible to list ur accepted payment modalities,Order
9482,report erroprs with sign-up,Login and Account
9483,"I need to see what payment methods are available, help me",Order
9484,can you help me report an error with payments?,Order
9485,need assikstance checking your allowed payment modalities,Order
9486,how could I check the early termination charges?,Cancellations and returns
9487,i need help to download the damn bill from {{Person Name}},Shipping
9488,what do I need to do to cancel purchase {{Order Number}}?,Order
9489,do you ship to {{Delivery Country}}?,Shipping
9490,where to lodge a customer reclamation?,Shopping
9491,can i see the cancellation penatlies,Cancellations and returns
9492,I do not know what I need to do to look for bill #37777,Shipping
9493,update order {{Order Number}},Order
9494,help to see the current status of purchase {{Order Number}},Order
9495,check cancellation fees,Cancellations and returns
9496,"I have got to switch to the standard account , help me",Login and Account
9497,I am looking for information about a password retrieval,Login and Account
9498,how to see how long it takes for my delivery to arrive?,Shipping
9499,I don't know how to get a reimbursement of my money,Cancellations and returns
9500,can I file a consumer claim against your organization?,Shopping
9501,I don't know what I need to do to talk with a live agent,Warranty
9502,how can i call customer assistance,Warranty
9503,I want help seeing what delivery options are there,Shipping
9504,modifying details on {{Account Category}} account,Login and Account
9505,I wan assistance purchasing several of your article,Order
9506,I can no longer afford order {{Order Number}},Order
9507,I do not know what I have to do to speak with an operator,Warranty
9508,want help to send feedback about a product,Shopping
9509,need to make an customer claim against ur business,Shopping
9510,delivery period,Shipping
9511,I want assistance to receive restitutions of money,Cancellations and returns
9512,"I entered a wrong shipping address, I need help to modify it",Shipping
9513,i need help with opening my platinum account,Login and Account
9514,help me to get my invoices from {{Person Name}},Shipping
9515,can ya help me speaking with an assistant,Warranty
9516,what do I need to do to file a consumer claim?,Shopping
9517,need help to check if there are any news on the restitution,Cancellations and returns
9518,help me ask for a rebate,Cancellations and returns
9519,I don't know what I need to do to download my invoice #12588,Shipping
9520,I do not know how I can acquire some articles,Order
9521,change to pro account,Login and Account
9522,I don't know how to check the bloody shipping options,Shipping
9523,I expect a refund of {{Currency Symbol}}{{Refund Amount}},Cancellations and returns
9524,how to use the gold profile?,Login and Account
9525,i have got to create a {{Account Type}} account for my dad,Login and Account
9526,could you help me inform of a problem with registrations?,Login and Account
9527,could you help me inform of an issue with a signup?,Login and Account
9528,can you help me set another delivery address up?,Shipping
9529,help filing a reclamation against your business,Shopping
9530,help using the {{Account Category}} profile,Login and Account
9531,"I have to use the {{Account Type}} profile, can I get some help?",Login and Account
